GbGDiv results table from 'allMtub-MYCOBACT' records table.																
"Created at 16:55, on Tue 3 May, 2016"																
Software version: 0.9																
Isolate records read from table: 7670																
																
Locus	Category	Missing	Paralogous	CountNuc	CountAA	MinLength	MaxLength	AvgLength	NonVarNuc	NonVarAA	AllelicDiv	ADivNM	VSitesNuc	VSitesAA	RatioCount	RatioVS
BACT000056	rMLST	11	1	14	8	258	285	263.625	131	12	0.053105737	-0.008900818	0.503082029	0.86344239	0.571428571	1.716305372
BACT000057	rMLST	6	7424	6	5	234	285	265.2	92	23	0.022624434	-0.039382121	0.653092006	0.739819005	0.833333333	1.132794457
BACT000058	rMLST	1	2	16	11	204	234	228.2727273	93	15	0.070091597	0.008085041	0.592592593	0.802867384	0.6875	1.35483871
BACT000059	rMLST	0	1	15	12	180	198	196.5	77	25	0.076335878	0.014329322	0.608142494	0.618320611	0.8	1.016736402
BACT000060	rMLST	4	1	13	9	243	258	244.6666667	107	24	0.053133515	-0.008873041	0.5626703	0.705722071	0.692307692	1.254237288
BACT000061	rMLST	22	1	19	15	174	183	174.8	44	10	0.108695652	0.046689096	0.748283753	0.828375286	0.789473684	1.107033639
BACT000062	rMLST	3	6388	10	10	150	168	163.8	31	7	0.061050061	-0.000956495	0.810744811	0.871794872	1	1.075301205
BACT000063	rMLST	3	2	17	10	135	144	142.5	53	22	0.119298246	0.05729169	0.628070175	0.536842105	0.588235294	0.854748603
BACT000064	rMLST	5	1	16	12	189	201	195	75	11	0.082051282	0.020044726	0.615384615	0.830769231	0.75	1.35
BACT000065	rMLST	5	1	8	7	114	114	114	66	20	0.070175439	0.008168883	0.421052632	0.473684211	0.875	1.125
MYCO000001	Information	54	0	158	118	1521	1536	1524.177966	1373	412	0.103662435	0.04165588	0.099186558	0.189071075	0.746835443	1.906216716
MYCO000005	Information	43	0	179	112	2025	2031	2027.973214	1867	584	0.088265466	0.02625891	0.079376401	0.136083264	0.625698324	1.71440457
MYCO000006	Information	75	0	293	197	2517	2520	2517.015228	2270	695	0.116407718	0.054401163	0.098138154	0.171637908	0.672354949	1.748941679
MYCO000009	Information	21	0	40	16	549	549	549	512	169	0.072859745	0.010853189	0.067395264	0.076502732	0.4	1.135135135
MYCO000011	Cell wall	13	0	32	24	282	282	282	252	74	0.113475177	0.051468622	0.106382979	0.212765957	0.75	2
MYCO000013	Int metab	10	0	72	40	663	699	698.1	599	178	0.103137086	0.041130531	0.14195674	0.235066609	0.555555556	1.655903128
MYCO000015	Regulatory	1711	0	97	53	1272	1296	1295.433962	1179	372	0.074878383	0.012871827	0.089880276	0.138512628	0.546391753	1.541079242
MYCO000016	Cell wall	121	0	110	66	1476	1476	1476	1365	428	0.074525745	0.012519189	0.075203252	0.130081301	0.6	1.72972973
MYCO000017	Cell wall	100	0	109	70	1407	1410	1409.957143	1300	407	0.077307314	0.015300759	0.07798616	0.134016231	0.642201835	1.718461738
MYCO000019	Regulatory	12	0	42	20	468	468	468	427	136	0.08974359	0.027737034	0.087606838	0.128205128	0.476190476	1.463414634
MYCO000038	Hypoth	495	0	43	18	609	609	609	567	185	0.070607553	0.008600998	0.068965517	0.088669951	0.418604651	1.285714286
MYCO000046	Int metab	22	0	81	49	1104	1104	1104	1022	318	0.073369565	0.011363009	0.074275362	0.135869565	0.604938272	1.829268293
MYCO000047	Hypoth	28	0	42	27	543	543	543	501	153	0.077348066	0.01534151	0.077348066	0.154696133	0.642857143	2
MYCO000049	Hypoth	50	0	33	20	414	414	414	384	121	0.079710145	0.017703589	0.072463768	0.123188406	0.606060606	1.7
MYCO000050	Cell wall	827	0	180	115	2031	2052	2041.747826	1892	587	0.088159761	0.026153205	0.073342959	0.137503673	0.638888889	1.874804018
MYCO000051	Cell wall	638	0	135	90	1683	1683	1683	1551	476	0.080213904	0.018207348	0.078431373	0.151515152	0.666666667	1.931818182
MYCO000054	Information	296	0	33	16	495	498	495.1875	465	151	0.066641424	0.004634868	0.060961757	0.085195002	0.484848485	1.397515528
MYCO000066	Int metab	37	0	154	96	2238	2238	2238	2091	663	0.068811439	0.006804883	0.065683646	0.111260054	0.623376623	1.693877551
MYCO000068	Int metab	216	0	97	73	912	921	912.1643836	786	227	0.106340482	0.044333926	0.13831321	0.25342404	0.75257732	1.832247557
MYCO000129	Lipids	74	0	42	23	1023	1023	1023	983	319	0.041055718	-0.020950837	0.039100684	0.064516129	0.547619048	1.65
MYCO000183	Int metab	405	0	65	46	840	840	840	777	237	0.077380952	0.015374397	0.075	0.153571429	0.707692308	2.047619048
MYCO000184	Hypoth	450	0	44	27	747	750	749.8888889	706	224	0.058675359	-0.003331196	0.058527189	0.10386724	0.613636364	1.774683544
MYCO000189	Int metab	997	0	79	40	1728	1728	1728	1654	539	0.045717593	-0.016288963	0.042824074	0.064236111	0.506329114	1.5
MYCO000198	Int metab	84	0	132	89	1989	1992	1991.966292	1859	578	0.066266182	0.004259626	0.066751276	0.129503342	0.674242424	1.940087882
MYCO000204	Cell wall	238	0	66	41	1236	1239	1238.926829	1171	373	0.053271911	-0.008734645	0.054827152	0.096798961	0.621212121	1.765529623
MYCO000207	Hypoth	25	0	54	32	729	732	729.09375	676	212	0.074064549	0.012057994	0.072821568	0.127684197	0.592592593	1.753384344
MYCO000211	Int metab	88	0	131	89	1821	1821	1821	1694	526	0.071938495	0.00993194	0.0697419	0.133443163	0.679389313	1.913385827
MYCO000223	Int metab	766	0	92	71	1464	1464	1464	1373	421	0.06284153	0.000834974	0.06215847	0.137295082	0.77173913	2.208791209
MYCO000225	Cell wall	51	0	53	26	1155	1155	1155	1104	359	0.045887446	-0.01611911	0.044155844	0.067532468	0.490566038	1.529411765
MYCO000227	Cell wall	852	0	73	40	1266	1266	1266	1183	378	0.057661927	-0.004344628	0.065560821	0.104265403	0.547945205	1.590361446
MYCO000228	Int metab	179	0	80	55	1224	1227	1224.054545	1139	338	0.065356565	0.003350009	0.069485911	0.171605543	0.6875	2.469645147
MYCO000236	Cell wall	1706	0	216	146	4203	4218	4203.10274	3993	1263	0.051390607	-0.010615949	0.049987534	0.098523107	0.675925926	1.970953545
MYCO000237	Cell wall	189	0	89	56	1167	1167	1167	1082	335	0.076263925	0.014257369	0.072836332	0.138817481	0.629213483	1.905882353
MYCO000238	Regulatory	24	0	42	12	615	615	615	576	194	0.068292683	0.006286127	0.063414634	0.053658537	0.285714286	0.846153846
MYCO000241	Int metab	48	0	76	49	843	843	843	767	233	0.090154211	0.028147655	0.090154211	0.170818505	0.644736842	1.894736842
MYCO000242	Lipids	1269	0	80	52	1365	1365	1365	1292	409	0.058608059	-0.003398497	0.053479853	0.101098901	0.65	1.890410959
MYCO000243	Lipids	698	0	80	48	1323	1323	1323	1245	395	0.060468632	-0.001537924	0.058956916	0.10430839	0.6	1.769230769
MYCO000244	Lipids	161	3811	95	74	1830	1839	1835.472973	1209	351	0.051757777	-0.010248779	0.341314191	0.426305908	0.778947368	1.249013137
MYCO000247	Int metab	16	0	37	23	747	747	747	711	227	0.049531459	-0.012475097	0.048192771	0.088353414	0.621621622	1.833333333
MYCO000248	Int metab	42	0	72	38	1941	1941	1941	1869	612	0.037094281	-0.024912275	0.037094281	0.054095827	0.527777778	1.458333333
MYCO000270	Lipids	65	0	113	63	1683	1683	1683	1579	504	0.067142008	0.005135453	0.061794415	0.101604278	0.557522124	1.644230769
MYCO000274	Hypoth	480	0	48	31	579	582	581.8064516	532	153	0.082501663	0.020495108	0.085606565	0.211077844	0.645833333	2.465673575
MYCO000321	Int metab	13	0	34	22	573	573	573	541	172	0.059336824	-0.002669732	0.055846422	0.09947644	0.647058824	1.78125
MYCO000322	Int metab	94	0	72	43	1332	1332	1332	1259	400	0.054054054	-0.007952502	0.054804805	0.099099099	0.597222222	1.808219178
MYCO000334	Int metab	10	0	38	27	867	870	867.1111111	830	250	0.04382368	-0.018182876	0.042798565	0.135058944	0.710526316	3.155688623
MYCO000337	Int metab	63	0	61	29	1287	1290	1289.896552	1229	402	0.047290614	-0.014715942	0.047210415	0.065041302	0.475409836	1.377689694
MYCO000350	Virulence	126	0	70	42	1878	1878	1878	1809	586	0.037273695	-0.02473286	0.036741214	0.063897764	0.6	1.739130435
MYCO000352	Virulence	785	0	55	35	1176	1188	1187.571429	1128	366	0.046313004	-0.015693552	0.050162396	0.075424035	0.636363636	1.503597122
MYCO000357	Int metab	26	0	61	28	1299	1299	1299	1239	406	0.046959199	-0.015047356	0.046189376	0.062355658	0.459016393	1.35
MYCO000360	Hypoth	250	0	34	27	435	438	437.8888889	398	118	0.077645268	0.015638712	0.091093631	0.191575742	0.794117647	2.103064067
MYCO000383	Cell wall	1420	0	40	27	855	855	855	817	260	0.046783626	-0.01522293	0.044444444	0.087719298	0.675	1.973684211
MYCO000384	Virulence	961	0	107	50	2547	2553	2547.12	2447	805	0.042008229	-0.019998327	0.039307139	0.051870348	0.46728972	1.31961646
MYCO000407	Int metab	354	0	66	38	1011	1011	1011	950	303	0.065281899	0.003275343	0.060336301	0.100890208	0.575757576	1.672131148
MYCO000410	Regulatory	232	0	125	76	2253	2253	2253	2132	654	0.05548158	-0.006524976	0.05370617	0.129161119	0.608	2.404958678
MYCO000411	Cell wall	211	0	58	30	987	990	987.7	935	300	0.058722284	-0.003284272	0.053356282	0.088792143	0.517241379	1.664136622
MYCO000414	Int metab	1581	0	35	18	669	669	669	635	206	0.052316891	-0.009689665	0.050822123	0.076233184	0.514285714	1.5
MYCO000415	Int metab	1671	0	54	30	1023	1032	1023.3	954	296	0.052770449	-0.009236107	0.067722076	0.132219291	0.555555556	1.952380952
MYCO000417	Int metab	529	1912	35	24	744	759	758.25	707	224	0.046158919	-0.015847637	0.067589845	0.113748764	0.685714286	1.682926829
MYCO000423	Int metab	47	0	66	32	1641	1644	1643.90625	1560	510	0.040148275	-0.021858281	0.051040776	0.069289991	0.484848485	1.357541899
MYCO000429	Information	18	0	35	20	594	594	594	561	178	0.058922559	-0.003083997	0.055555556	0.101010101	0.571428571	1.818181818
MYCO000432	Virulence	26	0	34	20	723	723	723	693	222	0.047026279	-0.014980276	0.041493776	0.078838174	0.588235294	1.9
MYCO000433	Hypoth	47	0	51	30	1128	1131	1130.9	1076	346	0.045096826	-0.01690973	0.048545406	0.082146963	0.588235294	1.692167577
MYCO000439	Int metab	289	0	60	40	936	936	936	878	276	0.064102564	0.002096008	0.061965812	0.115384615	0.666666667	1.862068966
MYCO000440	Virulence	87	0	71	21	1623	1623	1623	1552	521	0.043746149	-0.018260407	0.043746149	0.036968577	0.295774648	0.845070423
MYCO000462	Int metab	17	0	55	25	1395	1395	1395	1340	439	0.039426523	-0.022580033	0.039426523	0.055913978	0.454545455	1.418181818
MYCO000465	Regulatory	68	0	88	66	1416	1425	1424.818182	1329	410	0.061762266	-0.000244289	0.06724941	0.136731959	0.75	2.033206831
MYCO000466	Hypoth	33	0	39	24	795	795	795	755	241	0.049056604	-0.012949952	0.050314465	0.090566038	0.615384615	1.8
MYCO000467	Int metab	29	0	54	25	1287	1287	1287	1233	403	0.041958042	-0.020048514	0.041958042	0.060606061	0.462962963	1.444444444
MYCO000468	Lipids	69	0	47	32	861	867	861.1875	816	256	0.054575804	-0.007430752	0.052471152	0.108208143	0.680851064	2.062240664
MYCO000472	Regulatory	18	0	37	25	705	714	707.88	671	213	0.052268746	-0.00973781	0.052099226	0.097304628	0.675675676	1.867678959
MYCO000475	Cell wall	176	0	45	34	582	603	598.5882353	515	131	0.075176887	0.013170331	0.139642296	0.343455189	0.755555556	2.459535538
MYCO000483	Cell wall	84	0	69	34	1356	1356	1356	1290	419	0.050884956	-0.0111216	0.048672566	0.07300885	0.492753623	1.5
MYCO000484	Int metab	74	0	45	27	756	765	756.4444444	714	228	0.059488837	-0.002517719	0.056110458	0.095769683	0.6	1.706806283
MYCO000486	Int metab	460	0	74	41	1443	1464	1443.585366	1375	445	0.051261257	-0.010745299	0.047510433	0.07521922	0.554054054	1.583214794
MYCO000489	Int metab	1135	0	33	18	750	750	750	691	220	0.044	-0.018006556	0.078666667	0.12	0.545454545	1.525423729
MYCO000490	Regulatory	93	0	49	27	1233	1233	1233	1186	385	0.03974047	-0.022266085	0.03811841	0.063260341	0.551020408	1.659574468
MYCO000491	Regulatory	10	0	21	11	684	684	684	665	218	0.030701754	-0.031304801	0.027777778	0.043859649	0.523809524	1.578947368
MYCO000495	Hypoth	21	0	50	23	888	894	891	843	276	0.056116723	-0.005889833	0.053872054	0.070707071	0.46	1.3125
MYCO000496	Hypoth	96	0	48	28	987	987	987	939	294	0.048632219	-0.013374337	0.048632219	0.106382979	0.583333333	2.1875
MYCO000498	Hypoth	132	0	55	29	840	843	842.8965517	785	248	0.065251186	0.003244631	0.068687613	0.117329406	0.527272727	1.708159619
MYCO000501	Int metab	37	0	65	41	1131	1131	1131	1070	340	0.057471264	-0.004535291	0.053934571	0.098143236	0.630769231	1.819672131
MYCO000502	Hypoth	58	0	52	31	1077	1077	1077	1026	330	0.048282266	-0.01372429	0.04735376	0.080779944	0.596153846	1.705882353
MYCO000505	Int metab	1838	0	44	28	1116	1122	1121.571429	1062	161	0.039230671	-0.022775885	0.053114253	0.569354222	0.636363636	10.71942446
MYCO000509	Int metab	168	0	75	43	1395	1407	1406.72093	1315	410	0.053315479	-0.008691077	0.065201938	0.125626147	0.573333333	1.926724138
MYCO000510	Int metab	124	0	45	27	930	930	930	886	284	0.048387097	-0.013619459	0.047311828	0.083870968	0.6	1.772727273
MYCO000512	Int metab	168	0	53	31	987	990	989.9032258	940	301	0.053540587	-0.008465969	0.050412227	0.087789618	0.58490566	1.741435036
MYCO000524	Int metab	614	0	69	41	1389	1389	1389	1321	422	0.049676026	-0.01233053	0.048956084	0.088552916	0.594202899	1.808823529
MYCO000527	Int metab	229	0	43	23	780	780	780	738	237	0.055128205	-0.006878351	0.053846154	0.088461538	0.534883721	1.642857143
MYCO000528	Cell wall	1167	0	71	46	1590	1590	1590	1519	485	0.044654088	-0.017352468	0.044654088	0.08490566	0.647887324	1.901408451
MYCO000529	Int metab	285	0	60	29	972	975	974.8965517	908	209	0.061544992	-0.000461564	0.068619128	0.356854839	0.483333333	5.200515464
MYCO000548	Int metab	51	0	46	29	945	945	945	900	287	0.048677249	-0.013329307	0.047619048	0.088888889	0.630434783	1.866666667
MYCO000551	Lipids	270	0	104	77	1713	1716	1715.961039	1610	500	0.060607437	-0.001399119	0.061750259	0.125854279	0.740384615	2.038117416
MYCO000553	Int metab	717	0	50	37	981	981	981	933	292	0.0509684	-0.011038156	0.048929664	0.107033639	0.74	2.1875
MYCO000555	Int metab	706	0	67	32	1665	1665	1665	1598	520	0.04024024	-0.021766316	0.04024024	0.063063063	0.47761194	1.567164179
MYCO000557	Lipids	87	0	97	63	1137	1143	1137.095238	1044	320	0.08530508	0.023298524	0.0818711	0.15574354	0.649484536	1.90230179
MYCO000558	Int metab	385	0	34	22	705	705	705	671	214	0.04822695	-0.013779605	0.04822695	0.089361702	0.647058824	1.852941176
MYCO000562	Int metab	36	0	57	35	1008	1008	1008	956	304	0.056547619	-0.005458937	0.051587302	0.095238095	0.614035088	1.846153846
MYCO000563	Virulence	158	0	52	32	861	861	861	812	259	0.06039489	-0.001611666	0.056910569	0.097560976	0.615384615	1.714285714
MYCO000564	Lipids	92	0	67	44	1026	1026	1026	961	299	0.065302144	0.003295588	0.063352827	0.125730994	0.656716418	1.984615385
MYCO000566	Hypoth	25	0	25	17	492	492	492	467	148	0.050813008	-0.011193548	0.050813008	0.097560976	0.68	1.92
MYCO000636	Int metab	13	0	30	17	429	429	429	400	127	0.06993007	0.007923514	0.067599068	0.111888112	0.566666667	1.655172414
MYCO000639	Information	293	0	29	20	717	717	717	688	219	0.040446304	-0.021560252	0.040446304	0.083682008	0.689655172	2.068965517
MYCO000647	Hypoth	278	0	76	41	1464	1476	1467.146341	1389	407	0.05180124	-0.010205316	0.053264176	0.167772181	0.539473684	3.149812734
MYCO000655	Cell wall	37	0	60	35	1080	1080	1080	1023	327	0.055555556	-0.006451	0.052777778	0.091666667	0.583333333	1.736842105
MYCO000667	Information	366	0	321	218	3507	3531	3518.972477	3283	1011	0.09121981	0.029213254	0.06705721	0.138100676	0.679127726	2.059445589
MYCO000668	Information	290	0	318	212	3951	3966	3951.099057	3689	1145	0.080483935	0.018477379	0.066335734	0.130621645	0.666666667	1.969099253
MYCO000672	Lipids	315	0	116	70	1629	1656	1629.385714	1510	473	0.071192474	0.009185918	0.073270382	0.129119651	0.603448276	1.762235252
MYCO000684	Information	100	0	111	46	2106	2106	2106	1997	657	0.052706553	-0.009300003	0.051756885	0.064102564	0.414414414	1.23853211
MYCO000685	Information	30	0	38	12	1188	1191	1190.5	1151	378	0.031919362	-0.030087194	0.033179336	0.047459051	0.315789474	1.430379747
MYCO000693	Int metab	729	0	51	31	1176	1176	1176	1125	360	0.043367347	-0.018639209	0.043367347	0.081632653	0.607843137	1.882352941
MYCO000696	Int metab	115	0	80	45	1407	1413	1412.866667	1323	419	0.05662247	-0.005384086	0.063605908	0.110319445	0.5625	1.734421365
MYCO000732	Cell wall	21	0	74	43	1326	1326	1326	1251	397	0.055806938	-0.006199618	0.056561086	0.101809955	0.581081081	1.8
MYCO000733	Int metab	16	0	26	14	546	546	546	521	168	0.047619048	-0.014387508	0.045787546	0.076923077	0.538461538	1.68
MYCO000734	Int metab	787	0	36	23	795	801	800.7391304	754	238	0.044958462	-0.017048094	0.058369984	0.108323831	0.638888889	1.855813953
MYCO000757	Regulatory	14	0	39	26	744	744	744	708	225	0.052419355	-0.009587201	0.048387097	0.092741935	0.666666667	1.916666667
MYCO000758	Regulatory	200	0	192	162	1446	1485	1458.111111	1269	350	0.131677208	0.069670652	0.129695954	0.279890269	0.84375	2.158049354
MYCO000772	Int metab	233	0	63	38	1269	1269	1269	1205	384	0.04964539	-0.012361166	0.050433412	0.092198582	0.603174603	1.828125
MYCO000777	Int metab	78	0	50	23	1419	1422	1419.130435	1371	439	0.035232843	-0.026773713	0.033915441	0.071966912	0.46	2.12195122
MYCO000780	Int metab	28	0	48	32	894	894	894	848	267	0.053691275	-0.008315281	0.051454139	0.104026846	0.666666667	2.02173913
MYCO000782	Int metab	7499	0	5	4	1659	1659	1659	1654	549	0.003013864	-0.058992692	0.003013864	0.007233273	0.8	2.4
MYCO000788	Int metab	203	0	32	21	675	675	675	644	204	0.047407407	-0.014599148	0.045925926	0.093333333	0.65625	2.032258065
MYCO000803	Int metab	168	0	110	73	2265	2265	2265	2167	695	0.048565121	-0.013441434	0.043267108	0.079470199	0.663636364	1.836734694
MYCO000808	Int metab	141	0	78	33	1584	1587	1584.090909	1509	497	0.049239598	-0.012766958	0.047403156	0.058766141	0.423076923	1.239709443
MYCO000809	Int metab	12	0	46	24	1095	1095	1095	1050	342	0.042009132	-0.019997423	0.04109589	0.063013699	0.52173913	1.533333333
MYCO000810	Hypoth	7	0	11	7	183	183	183	173	54	0.06010929	-0.001897266	0.054644809	0.114754098	0.636363636	2.1
MYCO000814	Int metab	1532	26	13	6	303	303	303	292	95	0.04290429	-0.019102265	0.03630363	0.059405941	0.461538462	1.636363636
MYCO000815	Int metab	117	8	50	26	834	834	834	788	254	0.059952038	-0.002054517	0.055155875	0.086330935	0.52	1.565217391
MYCO000820	Cell wall	22	0	31	19	777	777	777	745	239	0.03989704	-0.022109516	0.041184041	0.077220077	0.612903226	1.875
MYCO000821	Cell wall	37	0	23	14	642	642	642	620	200	0.035825545	-0.026181011	0.034267913	0.065420561	0.608695652	1.909090909
MYCO000823	Regulatory	147	0	72	47	1167	1170	1169.234043	1089	332	0.061578775	-0.000427781	0.068621028	0.14816028	0.652777778	2.15910899
MYCO000824	Lipids	14	0	29	17	1017	1017	1017	989	322	0.028515241	-0.033491315	0.027531957	0.050147493	0.586206897	1.821428571
MYCO000859	Lipids	108	0	90	53	1206	1212	1211.886792	1108	347	0.074264362	0.012257807	0.085723182	0.141008874	0.588888889	1.644932801
MYCO000860	Lipids	454	0	131	77	2163	2163	2163	2034	644	0.060564031	-0.001442524	0.05963939	0.106796117	0.58778626	1.790697674
MYCO000861	Information	83	0	88	61	1629	1629	1629	1542	488	0.054020872	-0.007985684	0.053406998	0.101289134	0.693181818	1.896551724
MYCO000871	Virulence	22	0	18	9	408	408	408	389	126	0.044117647	-0.017888909	0.046568627	0.073529412	0.5	1.578947368
MYCO000876	Cell wall	14	0	86	56	1647	1647	1647	1562	493	0.052216151	-0.009790405	0.051608986	0.102003643	0.651162791	1.976470588
MYCO000884	Int metab	25	0	57	34	1131	1131	1131	1075	344	0.050397878	-0.011608678	0.049513705	0.087533156	0.596491228	1.767857143
MYCO000885	Hypoth	104	0	47	34	1023	1023	1023	978	308	0.045943304	-0.016063252	0.04398827	0.096774194	0.723404255	2.2
MYCO000886	Int metab	1767	0	95	60	1722	1728	1727.9	1625	514	0.054980034	-0.007026522	0.059552057	0.107587245	0.631578947	1.806608358
MYCO000889	Int metab	1506	0	69	56	1110	1122	1121.785714	1040	316	0.061509074	-0.000497482	0.072906718	0.154918816	0.811594203	2.12489083
MYCO000896	Int metab	107	0	67	23	1296	1296	1296	1228	408	0.051697531	-0.010309025	0.052469136	0.055555556	0.343283582	1.058823529
MYCO000902	Regulatory	57	0	42	22	1341	1341	1341	1299	424	0.031319911	-0.030686645	0.031319911	0.051454139	0.523809524	1.642857143
MYCO000903	Regulatory	18	0	16	11	711	711	711	679	217	0.022503516	-0.03950304	0.045007032	0.084388186	0.6875	1.875
MYCO000906	Hypoth	1950	0	61	30	1116	1119	1118.9	1056	342	0.05451783	-0.007488726	0.056215926	0.083027974	0.491803279	1.476947536
